partition,feature,development_mean,test_mean,standardized_mean_difference,ks_statistic,wasserstein_distance,absolute_smd
test_spatiotemporal_unseen_country,overall_daly_rate__current_rel_ui_width,0.5392752266,0.5471241953,0.02273477719,0.09905107487,0.0407181874,0.02273477719
test_spatiotemporal_unseen_country,overall_death_rate__log_growth10,-0.0006528016972,-0.0001733686506,0.02234524292,0.1486439473,0.005743391215,0.02234524292
test_spatiotemporal_unseen_country,bmi_daly_rate__delta10,2.221848564,2.001690431,-0.02227779147,0.1512687665,2.477836992,0.02227779147
test_spatiotemporal_unseen_country,sdi__log_growth3,0.01054295102,0.01037381676,-0.01958874256,0.1012114071,0.001503793812,0.01958874256
test_spatiotemporal_unseen_country,bmi_death_rate__delta10,0.08202327384,0.08742990007,0.01578374925,0.1675981346,0.09761922292,0.01578374925
test_spatiotemporal_unseen_country,overall_death_rate__log_growth1,-0.0006257360925,-0.00125104881,-0.01397409127,0.06406803332,0.003496142007,0.01397409127
test_spatiotemporal_unseen_country,overall_daly_rate__log_growth1,-0.001744643253,-0.002089932092,-0.007781672615,0.06602698389,0.003485060134,0.007781672615
test_spatiotemporal_unseen_country,sdi__log_slope5,0.01057597787,0.01051788207,-0.006661896657,0.0979306948,0.001513103941,0.006661896657
test_spatiotemporal_unseen_country,sdi__log_growth5,0.01060781475,0.01064275377,0.004000702828,0.09153324355,0.001494012166,0.004000702828
test_spatiotemporal_unseen_country,overall_death_rate__log_slope10,-0.0006697257346,-0.0007518336903,-0.003507252378,0.127526934,0.006085639835,0.003507252378
test_spatiotemporal_unseen_country,overall_daly_rate__log_slope10,-0.00191902022,-0.001869154736,0.002104034857,0.1381883136,0.006007509685,0.002104034857
test_spatiotemporal_unseen_country,sdi__current_rel_ui_width,0,0,0,0,0,0
test_temporal_seen_country,gbd_daly_fraction__current_rel_ui_width,1.272793186,1.209597198,-0.3358066153,0.1955265849,0.06325460755,0.3358066153
test_temporal_seen_country,gbd_death_fraction__current_rel_ui_width,1.289103065,1.22375803,-0.333192834,0.1840235174,0.0655932859,0.333192834
test_temporal_seen_country,gbd_daly_fraction__lag10,0.1060659674,0.1252078862,0.3031147009,0.1898517382,0.01914191878,0.3031147009
test_temporal_seen_country,gbd_death_fraction__lag10,0.1028790821,0.1208997747,0.2968351729,0.1775306748,0.01802069257,0.2968351729
test_temporal_seen_country,gbd_daly_fraction__mean10,0.1160759978,0.1352641032,0.2962550142,0.1789877301,0.01918810538,0.2962550142
test_temporal_seen_country,gbd_daly_fraction__lag5,0.1151389173,0.1343011502,0.2958741096,0.1757413088,0.01916223287,0.2958741096
test_temporal_seen_country,sdi__current,0.5894246494,0.6425308217,0.2945572021,0.1291155419,0.0531061723,0.2945572021
test_temporal_seen_country,sdi__lag1,0.5842714244,0.6375854307,0.2942152022,0.1301635992,0.0533140063,0.2942152022
test_temporal_seen_country,sdi__mean3,0.58427265,0.6375563785,0.2940742709,0.1288854806,0.05328372849,0.2940742709
test_temporal_seen_country,sdi__mean5,0.5791179226,0.6325074695,0.2932609838,0.1286042945,0.05338954691,0.2932609838
test_temporal_seen_country,gbd_daly_fraction__lag3,0.1188194286,0.1379623472,0.2932437961,0.1744120654,0.01914291867,0.2932437961
test_temporal_seen_country,gbd_daly_fraction__mean5,0.1206633605,0.1398494273,0.2930403375,0.1772750511,0.01918606681,0.2930403375
test_temporal_seen_country,gbd_daly_fraction__current,0.1243495439,0.1436317607,0.2926112618,0.1770194274,0.01928221683,0.2926112618
test_temporal_seen_country,sdi__lag3,0.5739684377,0.6274904059,0.2924968819,0.1296267894,0.05352196821,0.2924968819
test_temporal_seen_country,gbd_daly_fraction__mean3,0.1225071245,0.1417219053,0.292459041,0.1793456033,0.01921478077,0.292459041
test_temporal_seen_country,gbd_daly_fraction__lag1,0.1225075085,0.1417150222,0.2922801363,0.179192229,0.01920751364,0.2922801363
test_temporal_seen_country,gbd_death_fraction__mean10,0.1123102931,0.1305370388,0.2922000299,0.16400818,0.01822674567,0.2922000299
