outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent,task,task_order
death,1,persistence,0.01541922583,0.01869512909,0.03231548162,0.02605528812,0.01107229522,0.9981043492,0.9977128442,0.01193392674,0.01869512909,0.02191118953,0.03080468003,0.01710037756,-0.03413269539,0.756704645,0,6,0.01411805949,0,-0.09216325703,Death 1 y,3
death,1,random_forest,0.01609189713,0.01944171286,0.04142371421,0.02706727345,0.008960861582,0.9969639102,0.9976537314,0.01138069261,0.01944171286,0.02300806259,0.02662033763,0.01704784725,-0.6784855294,0.7170902717,6,7,0.01411805949,-0.0436254913,-0.1398094157,Death 1 y,3
death,1,hist_gradient_boosting,0.01644213922,0.0202773541,0.04300351236,0.02822998439,0.008592627933,0.9966926044,0.9977716106,0.01170303569,0.0202773541,0.02391837987,0.02739168332,0.01799531013,-0.8842146551,0.7079754601,8,8,0.01411805949,-0.06634012621,-0.1646175053,Death 1 y,3
death,1,xgboost,0.01868268101,0.02292029555,0.06923770546,0.03183484376,0.008936641366,0.9910291474,0.9978088733,0.01215458274,0.02292029555,0.02754987601,0.02771663204,0.01951040342,-2.105762935,0.7075084635,9,9,0.01411805949,-0.2116484456,-0.3233179127,Death 1 y,3
death,1,elastic_net,0.06271021191,0.0964848711,0.1972576283,0.1343130817,0.05698614938,0.9314750977,0.9774388993,0.05011807341,0.0964848711,0.1002083563,0.1562444778,0.0948110284,-106.4923385,0.6224364592,5,10,0.01411805949,-3.067014298,-3.441843582,Death 1 y,3
death,1,ridge,0.06309995849,0.09735329089,0.2035353806,0.1355280704,0.05656305296,0.9270721243,0.9770116017,0.05048596662,0.09735329089,0.1011869306,0.1596315752,0.09543667003,-108.7014812,0.588080631,4,11,0.01411805949,-3.092290961,-3.469449825,Death 1 y,3
death,3,extra_trees,0.02643775868,0.03152016636,0.05299932278,0.04391469823,0.01797911171,0.9949767991,0.9937472092,0.01981495186,0.03152016636,0.03643436391,0.05030000557,0.02975737086,-4.514652767,0.6059596845,7,1,0.03078958334,0.261380394,0.1413408104,Death 3 y,4
death,3,random_forest,0.02805943515,0.035390447,0.05883760688,0.04932092811,0.01957441251,0.9938237708,0.9933247608,0.0214975024,0.035390447,0.04055700645,0.05399612015,0.03373020834,-5.300113305,0.5772129711,6,2,0.03078958334,0.2160739045,0.08867116385,Death 3 y,4
death,3,hist_gradient_boosting,0.02838120157,0.03636745486,0.06581032412,0.05064192309,0.01987929275,0.9923660739,0.99346042,0.02192871297,0.03636745486,0.04227919525,0.05444495959,0.034654606,-6.33787473,0.5312883436,8,3,0.03078958334,0.207084376,0.07822066783,Death 3 y,4
death,3,gru,0.02888679874,0.03616684576,0.06036710351,0.05038570776,0.02179563843,0.9934941071,0.9926902223,0.02240842803,0.03616684576,0.04179759784,0.05569677905,0.03513009787,-6.926301087,0.6049079755,10,4,0.03078958334,0.1929589734,0.06179962154,Death 3 y,4
