location_id,location_name,year,bmi_daly_rate,bmi_daly_rate_lower,bmi_daly_rate_upper,bmi_death_rate,bmi_death_rate_lower,bmi_death_rate_upper,gbd_daly_fraction,gbd_daly_fraction_lower,gbd_daly_fraction_upper,gbd_death_fraction,gbd_death_fraction_lower,gbd_death_fraction_upper,overall_daly_rate,overall_daly_rate_lower,overall_daly_rate_upper,overall_death_rate,overall_death_rate_lower,overall_death_rate_upper,sdi,sdi_lower,sdi_upper,asr_ratio_daly,asr_ratio_death,daly_fraction_definition_gap_pp,death_fraction_definition_gap_pp,bmi_daly_rate_rel_ui_width,bmi_death_rate_rel_ui_width,gbd_daly_fraction_rel_ui_width,gbd_death_fraction_rel_ui_width,overall_daly_rate_rel_ui_width,overall_death_rate_rel_ui_width,sdi_rel_ui_width,sdi_quintile_2023
40,Turkmenistan,2023,24.51390433,11.08414199,40.65615389,0.8861246115,0.3929112686,1.48269966,0.1626882569,0.07780676767,0.2603336743,0.1611145791,0.07581156915,0.2637827478,150.5218169,128.9852918,177.0571635,5.496323749,4.700728304,6.446530363,0.682174647,0.682174647,0.682174647,0.1628594767,0.1612213275,-0.01712198124,-0.01067484151,1.206336269,1.2298365,1.121942727,1.166692547,0.3193681332,0.3176308635,0,Q3
41,Uzbekistan,2023,24.66496146,10.34582664,42.97551082,0.9357964573,0.3924417349,1.64111485,0.1835763426,0.07926465081,0.3133208928,0.1789468862,0.07797835642,0.306747996,134.1907281,122.2568017,147.0127546,5.224285122,4.759723961,5.722370951,0.632090937,0.632090937,0.632090937,0.1838052584,0.179124308,-0.02289158264,-0.01774218167,1.322916488,1.33434264,1.274980418,1.278422019,0.1844833341,0.1842638691,0,Q2
43,Albania,2023,21.32556548,8.589687637,40.65993816,0.8725012183,0.3432886369,1.675206004,0.1298922327,0.05296096776,0.2451591415,0.1255488903,0.05078027559,0.2419864493,164.2154858,126.6279118,208.5821176,6.946994766,5.367147089,8.920148215,0.706767038,0.706767038,0.706767038,0.1298633035,0.1255940515,0.002892919935,-0.004516122948,1.503840569,1.526550725,1.479674109,1.522961878,0.4990650264,0.5114443361,0,Q3
44,Bosnia and Herzegovina,2023,20.97396877,8.179569623,38.18251679,0.8769139108,0.3515168125,1.574727392,0.1475501482,0.06018694694,0.2702943962,0.1418307713,0.0574965264,0.261215152,142.2302639,118.7003044,171.1768289,6.18731719,5.1612527,7.475571814,0.712915296,0.712915296,0.712915296,0.1474648798,0.1417276477,0.008526838595,0.01031235816,1.430484974,1.394903838,1.42397315,1.436349981,0.3689547011,0.3740424231,0,Q3
45,Bulgaria,2023,10.36557209,4.532076872,16.63149301,0.389238116,0.1709241497,0.6146437246,0.1560646015,0.07227302597,0.2468974805,0.1534678072,0.07112038848,0.2415116158,66.31583873,60.96416314,71.91514798,2.532803576,2.339602432,2.738762502,0.770862429,0.770862429,0.770862429,0.1563061298,0.1536787612,-0.02415282625,-0.02109539952,1.167269498,1.139969486,1.118924169,1.110273421,0.1651337758,0.1575961414,0,Q4
46,Croatia,2023,12.30003769,5.500706377,20.20724486,0.5108059948,0.2294499644,0.8391153877,0.1786004563,0.08448109224,0.2799334348,0.1749329862,0.08203060881,0.2758938116,68.8409996,61.92423907,77.45747715,2.919529417,2.628966881,3.285984206,0.782133463,0.782133463,0.782133463,0.1786731419,0.1749617565,-0.007268550406,-0.002877031132,1.195649872,1.193536155,1.094355225,1.108214105,0.2256393453,0.2250422007,0,Q4
47,Czechia,2023,11.03194835,5.040780627,16.99056601,0.4688134534,0.2149725706,0.7293674586,0.1974107591,0.09234203476,0.3050098286,0.1934147794,0.08992771237,0.3005198156,55.83981767,51.10032055,62.15778579,2.422050681,2.192426361,2.726859291,0.83103434,0.83103434,0.83103434,0.1975641901,0.1935605464,-0.01534309762,-0.01457670652,1.08319809,1.097227232,1.077285731,1.088810813,0.198021156,0.2206530746,0,Q5
48,Hungary,2023,8.431143041,3.858420475,13.22006081,0.3326784959,0.1520362038,0.5202244541,0.1969663567,0.09314511231,0.3002310699,0.1925994189,0.09259929175,0.2939859441,42.71518122,37.83144146,49.1522508,1.724056947,1.527175472,1.976763938,0.793609757,0.793609757,0.793609757,0.1973804816,0.1929625912,-0.04141248545,-0.03631722702,1.110364311,1.106738953,1.051377306,1.045624403,0.2650301139,0.2607735591,0,Q4
49,North Macedonia,2023,25.99555106,11.39131562,47.88786706,1.100661929,0.4678413331,2.057432978,0.16953761,0.073974077,0.2896427239,0.1681433489,0.06969179431,0.2968827291,153.2199406,129.8494564,184.38659,6.539218263,5.504056956,7.895610707,0.758480094,0.758480094,0.758480094,0.1696616704,0.1683170502,-0.01240604562,-0.01737013639,1.403953752,1.444214252,1.272099135,1.35117408,0.3559401821,0.3657247173,0,Q4
50,Montenegro,2023,25.58369323,10.32764008,48.14784799,1.066326269,0.433190727,1.982619229,0.1857821703,0.07801312032,0.3312081475,0.1822285865,0.07614164905,0.3272571223,137.7699462,103.6479884,177.316825,5.856184385,4.411263235,7.515864543,0.788565722,0.788565722,0.788565722,0.1856986515,0.1820855012,0.008351878535,0.01430852919,1.47829352,1.453052923,1.362859669,1.37802459,0.5347235641,0.5301406349,0,Q4
