partition,outcome,horizon,family,selected_by_cv,reference_transparent_by_cv,subgroup_dimension,subgroup_value,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman,coverage_90,mean_width_90,median_width_90,coverage_95,mean_width_95,median_width_95
test_temporal_seen_country,daly,1,pooled_ridge,False,True,target_year,2021,163,0.0682115044538,1.24392374748,3.12067058311,0.0552617618005,0.4859388905,0.984716940065,0.994078396817,0.613496932515,2.16472215103,1.5974130349,0.766871165644,2.90034503423,2.1402510993
test_temporal_seen_country,daly,1,pooled_ridge,False,True,target_year,2022,163,0.0814784071196,1.72316696674,3.36906587813,0.0736625204914,0.7036381804,0.9832052078,0.991518003115,0.472392638037,2.26205383598,1.6277405357,0.613496932515,3.03075228718,2.1808845895
test_temporal_seen_country,daly,1,pooled_ridge,False,True,target_year,2023,163,0.0590384940102,1.28790995965,2.197935033,0.0518516772975,0.5592389501,0.993682343382,0.995752074085,0.570552147239,2.35281703379,1.631995992,0.736196319018,3.15235892844,2.1865861487
test_temporal_seen_country,daly,1,random_forest,False,False,target_year,2019,163,0.0424310145664,0.684347442251,1.44162609982,0.0323057600641,0.3213077448,0.995826109966,0.99791898737,0.907975460123,2.33908725945,1.7059775934,0.963190184049,3.01793436013,2.2010843656
test_temporal_seen_country,daly,1,random_forest,False,False,target_year,2020,163,0.0473075685054,0.876091481235,1.87663828892,0.0406741946115,0.39316302163,0.993359393296,0.996744088095,0.840490797546,2.39948723743,1.7187577233,0.883435582822,3.09586354733,2.2175735296
test_temporal_seen_country,daly,1,random_forest,False,False,target_year,2021,163,0.0679501824615,1.20679322426,3.61766693748,0.0536122248945,0.46893630834,0.979461362792,0.994100564728,0.687116564417,2.43551968798,1.7643208443,0.79754601227,3.14235329247,2.2763599248
test_temporal_seen_country,daly,1,random_forest,False,False,target_year,2022,163,0.0877873948057,1.97663021581,4.44627632917,0.0844976526279,0.7059370273,0.970748473944,0.991002599188,0.527607361963,2.50688208713,1.8293904732,0.59509202454,3.23442640156,2.3603139836
test_temporal_seen_country,daly,1,random_forest,False,False,target_year,2023,163,0.0720577339473,1.93044707408,5.16368815088,0.0777204322206,0.6754765131,0.96513045128,0.995341967735,0.552147239264,2.60532978534,1.8509015756,0.699386503067,3.36144547273,2.3880680123
test_temporal_seen_country,daly,1,ridge,False,False,target_year,2019,163,0.228535122948,4.13906001784,8.93894235557,0.195391217343,2.1563592516,0.839524771242,0.935139463869,0.901840490798,17.2181843838,11.4966059771,0.963190184049,20.6543378876,13.7909305139
test_temporal_seen_country,daly,1,ridge,False,False,target_year,2020,163,0.241932490709,4.80700555932,10.7580150877,0.223174273242,2.2221171322,0.781771779318,0.934205640625,0.883435582822,17.9504253975,11.7099056917,0.944785276074,21.5327088572,14.0467974671
