outcome,horizon,family,mean_fold_rmsle,mean_fold_mae,mean_fold_rmse,mean_fold_wape,mean_fold_median_absolute_error,mean_fold_r2,mean_fold_spearman,country_macro_rmsle,country_macro_mae,country_macro_rmse,country_macro_wape,country_macro_median_absolute_error,country_macro_r2,country_macro_spearman,complexity_rank,rank_rmsle,best_transparent_rmsle,skill_vs_persistence,skill_vs_best_transparent
death,1,xgboost,0.0186826810092,0.0229202955459,0.0692377054562,0.031834843761,0.0089366413655,0.991029147435,0.997808873346,0.0121545827414,0.0229202955459,0.0275498760061,0.0277166320399,0.0195104034211,-2.10576293492,0.707508463486,9,9,0.0141180594851,-0.211648445577,-0.3233179127
death,1,elastic_net,0.0627102119149,0.0964848711009,0.197257628325,0.134313081668,0.0569861493835,0.931475097749,0.977438899256,0.0501180734054,0.0964848711009,0.100208356307,0.156244477807,0.0948110283958,-106.49233852,0.622436459246,5,10,0.0141180594851,-3.06701429795,-3.44184358204
death,1,ridge,0.0630999584937,0.0973532908896,0.203535380603,0.135528070396,0.0565630529583,0.927072124317,0.977011601745,0.0504859666248,0.0973532908896,0.101186930594,0.159631575165,0.0954366700342,-108.701481198,0.588080631025,4,11,0.0141180594851,-3.09229096119,-3.4694498249
death,3,extra_trees,0.0264377586784,0.0315201663599,0.0529993227758,0.043914698226,0.017979111709,0.994976799097,0.993747209246,0.01981495186,0.0315201663599,0.036434363906,0.0503000055698,0.0297573708606,-4.51465276654,0.605959684487,7,1,0.0307895833387,0.261380394021,0.14134081038
death,3,random_forest,0.0280594351496,0.0353904470043,0.0588376068759,0.0493209281075,0.0195744125102,0.993823770779,0.993324760829,0.0214975023999,0.0353904470043,0.0405570064514,0.0539961201509,0.0337302083367,-5.3001133051,0.577212971078,6,2,0.0307895833387,0.216073904512,0.0886711638515
death,3,hist_gradient_boosting,0.0283812015678,0.0363674548621,0.0658103241174,0.0506419230888,0.0198792927518,0.99236607393,0.993460419995,0.0219287129651,0.0363674548621,0.0422791952533,0.0544449595944,0.0346546059977,-6.33787473041,0.531288343558,8,3,0.0307895833387,0.207084376015,0.0782206678291
death,3,gru,0.028886798741,0.0361668457643,0.060367103509,0.050385707757,0.0217956384257,0.993494107146,0.992690222293,0.0224084280306,0.0361668457643,0.0417975978368,0.0556967790499,0.0351300978673,-6.92630108698,0.60490797546,10,4,0.0307895833387,0.192958973428,0.0617996215421
death,3,xgboost,0.0299323449694,0.0372248037781,0.0808625130665,0.0517720309131,0.0197398018025,0.987332058825,0.99335385539,0.0222892465918,0.0372248037781,0.0446948607665,0.0544957657109,0.0337690284616,-7.09236017641,0.543908851884,9,5,0.0307895833387,0.163748443418,0.027841830787
death,3,pooled_ridge,0.0307895833387,0.0376909186265,0.0619639977227,0.0525195717657,0.0215052037612,0.993146989626,0.991754462681,0.0234730318928,0.0376909186265,0.0429553005066,0.0675764393129,0.0368911226026,-8.13040507164,0.553374233129,3,6,0.0307895833387,0.139798869088,0
death,3,logtrend10,0.0331886128826,0.0405288923263,0.0665785655801,0.05641131636,0.0219264708495,0.99218543223,0.989460148677,0.0249067775163,0.0405288923263,0.0458363707661,0.0635724770851,0.0409951796172,-9.09515237882,0.577563540754,2,7,0.0307895833387,0.0727746452132,-0.0779169213642
death,3,logtrend5,0.0349565314149,0.0434337803014,0.0734862503041,0.0604698093121,0.0237400166888,0.990489629016,0.98977557067,0.0264390102969,0.0434337803014,0.0496250715961,0.0661792525432,0.0434871115913,-9.32349295727,0.424364592463,1,8,0.0307895833387,0.0233824366805,-0.135336293134
death,3,persistence,0.0357934699598,0.0469637614969,0.0697034008929,0.0654313702338,0.0300026638033,0.991338142984,0.990926537675,0.0288308295701,0.0469637614969,0.0519241321701,0.0785349458115,0.0464087432782,-5.72612834468,0.616126205083,0,9,0.0307895833387,0,-0.162518815733
