outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
death,5,pooled_ridge,cv3,326,0.0434011879912,0.0556203270576,0.0865545301024,0.0754910719818,0.0333007788685,0.986871726195,0.985252867243
death,5,random_forest,cv1,326,0.0359309079463,0.0461716840189,0.0816643433662,0.0658551701353,0.0231200326165,0.988041272719,0.98912937122
death,5,random_forest,cv2,326,0.0389153230623,0.0481296433203,0.0758771678825,0.0669233932337,0.030488663161,0.990050897249,0.985964298548
death,5,random_forest,cv3,326,0.0327975935791,0.0419360558295,0.0621387986182,0.0569180006075,0.0259772031325,0.993233661433,0.989778457036
death,5,ridge,cv1,326,0.0786230668147,0.123134797453,0.272734156302,0.175628487636,0.0752457424695,0.866617431897,0.964988158687
death,5,ridge,cv2,326,0.0788816394308,0.120577692333,0.220435069184,0.167661087067,0.080010300773,0.91603021,0.958743911573
death,5,ridge,cv3,326,0.0754628384347,0.115868281474,0.209466682517,0.157263023069,0.078440332426,0.923112112476,0.960744509051
death,5,xgboost,cv1,326,0.0362439783152,0.0468476735442,0.0738294106016,0.0668193412748,0.0275317751125,0.990225854139,0.989324374056
death,5,xgboost,cv2,326,0.0377057729576,0.045273798723,0.0717660257852,0.0629523932883,0.0277001468945,0.991099805761,0.986971524564
death,5,xgboost,cv3,326,0.0333909236335,0.0434875562488,0.0696221442739,0.0590237852375,0.026284437517,0.9915057936,0.990002900797
