outcome,horizon,family,fold,n,rmsle,mae,rmse,wape,median_absolute_error,r2,spearman
death,5,elastic_net,cv1,326,0.0803999077655,0.131669903387,0.347088078812,0.187802201143,0.072502723754,0.783977290922,0.968398110585
death,5,elastic_net,cv2,326,0.0771641742041,0.119505072406,0.221946550423,0.166169628577,0.083084142361,0.914874732411,0.961302154816
death,5,elastic_net,cv3,326,0.0738583133945,0.111683145392,0.203083218311,0.151582718296,0.074843482775,0.927726998022,0.962305570829
death,5,extra_trees,cv1,326,0.03301381989,0.040136228566,0.0675590901324,0.0572467350273,0.020070799078,0.99181558586,0.991037143191
death,5,extra_trees,cv2,326,0.0340354256873,0.0404187373906,0.0640288426349,0.0562015188519,0.025086196028,0.992915438174,0.989004333877
death,5,extra_trees,cv3,326,0.0291928390116,0.0364442395208,0.0558204843267,0.0494641950978,0.022579379305,0.994539716141,0.99184209273
death,5,gru,cv1,326,0.0328145110751,0.040923394449,0.0690014766844,0.0583694782032,0.022982345278,0.991462380741,0.991187465093
death,5,gru,cv2,326,0.0372474016446,0.0453805493098,0.075315981269,0.0631008280368,0.0271647439235,0.990197519913,0.98928765949
death,5,gru,cv3,326,0.0312249635244,0.0404263462786,0.0656537403564,0.0548689369215,0.0245922616905,0.992446522037,0.991203744193
death,5,hist_gradient_boosting,cv1,326,0.0361065551867,0.0471222880328,0.0774696214054,0.0672110268772,0.021783002467,0.989238250465,0.989332686788
death,5,hist_gradient_boosting,cv2,326,0.0367779032351,0.0457752510268,0.0725761415355,0.0636496535919,0.02599682226,0.990897735693,0.986530949773
death,5,hist_gradient_boosting,cv3,326,0.0354250310563,0.0484644282108,0.098243323391,0.0657786789859,0.027152781208,0.983086475737,0.990236003654
death,5,logtrend10,cv1,326,0.0494682799703,0.0623413133556,0.102854306275,0.0889180865875,0.0350594924915,0.981030103047,0.977349191024
death,5,logtrend10,cv2,326,0.0525070690584,0.0627827063476,0.0970442483422,0.0872982107351,0.033709851052,0.983725738417,0.972666698417
death,5,logtrend10,cv3,326,0.0491432200219,0.0634908361621,0.100032645239,0.0861733746715,0.0370663446415,0.982464767581,0.979378883063
death,5,logtrend5,cv1,326,0.0575035149586,0.0633398694457,0.100326131518,0.0903423378922,0.035315381306,0.981951207741,0.9645226457
death,5,logtrend5,cv2,326,0.0570622612651,0.0718254328686,0.112432823897,0.0998719574143,0.0409945014325,0.978155207259,0.971579115993
death,5,logtrend5,cv3,326,0.0562102943437,0.072296815001,0.120148381432,0.0981253501015,0.042043060301,0.974703300071,0.978467946192
death,5,persistence,cv1,326,0.055491982499,0.0749628140789,0.10603362344,0.106920268989,0.050231902845,0.979839225208,0.982714020375
death,5,persistence,cv2,326,0.0569442488551,0.0756980087399,0.110125133505,0.105256703695,0.048199359615,0.979042735865,0.980134995302
death,5,persistence,cv3,326,0.0516140426883,0.0694615018546,0.097914673565,0.0942771018055,0.049431000845,0.983199446859,0.983577159037
death,5,pooled_ridge,cv1,326,0.044699318992,0.0560347542474,0.0875547032326,0.0799229734167,0.0301755087105,0.986253916625,0.982842174992
death,5,pooled_ridge,cv2,326,0.0488164849125,0.0581713534649,0.094702529891,0.0808862084633,0.0329677700408,0.984501671814,0.981388139637
